iter	Passed	Remaining
409	3237	4659
410	3245	4650
411	3251	4640
412	3257	4629
413	3266	4623
414	3271	4612
415	3280	4605
416	3286	4594
417	3294	4587
418	3300	4576
419	3305	4565
420	3315	4560
421	3321	4548
422	3330	4542
423	3335	4531
424	3342	4522
425	3348	4512
426	3354	4501
427	3361	4492
428	3367	4481
429	3372	4470
430	3378	4460
431	3384	4449
432	3391	4441
433	3397	4430
434	3403	4419
435	3410	4411
436	3415	4400
437	3422	4391
438	3427	4380
439	3433	4370
440	3442	4363
441	3447	4352
442	3454	4343
443	3460	4333
444	3466	4322
445	3472	4313
446	3477	4302
447	3483	4291
448	3489	4282
449	3495	4271
450	3500	4261
451	3507	4252
452	3512	4241
453	3519	4232
454	3524	4221
455	3530	4211
456	3537	4202
457	3543	4192
458	3548	4182
459	3554	4173
460	3560	4162
461	3567	4154
462	3574	4145
463	3579	4135
464	3585	4125
465	3591	4115
466	3597	4105
467	3603	4096
468	3608	4086
469	3614	4076
470	3621	4067
471	3627	4057
472	3634	4049
473	3640	4039
474	3646	4029
475	3653	4021
476	3658	4011
477	3663	4001
478	3671	3993
479	3677	3983
480	3683	3974
481	3688	3964
482	3694	3954
483	3701	3946
484	3706	3935
485	3747	3963
486	3762	3963
487	3780	3966
488	3787	3957
489	3793	3947
490	3799	3938
491	3804	3928
492	3810	3919
493	3817	3910
494	3822	3900
495	3829	3890
496	3834	3880
497	3839	3870
498	3846	3862
499	3852	3852
500	3858	3842
501	3864	3833
502	3869	3823
503	3875	3814
504	3883	3806
505	3888	3796
506	3894	3787
507	3900	3777
508	3905	3767
509	3912	3758
510	3917	3749
511	3923	3739
512	3929	3730
513	3935	3720
514	3940	3711
515	3947	3702
516	3952	3692
517	3957	3682
518	3964	3674
519	3970	3664
520	3976	3655
521	3981	3645
522	3987	3636
523	3993	3627
524	3999	3618
525	4004	3608
526	4011	3600
527	4016	3590
528	4022	3581
529	4029	3573
530	4035	3563
531	4041	3554
532	4046	3545
533	4052	3536
534	4062	3530
535	4070	3523
536	4078	3516
537	4085	3508
538	4093	3501
539	4099	3492
540	4107	3484
541	4114	3476
542	4120	3468
543	4127	3459
544	4132	3450
545	4138	3441
546	4144	3431
547	4149	3422
548	4156	3414
549	4161	3405
550	4167	3395
551	4175	3388
552	4180	3379
553	4186	3370
554	4192	3361
555	4197	3351
556	4203	3343
557	4209	3334
558	4215	3325
559	4223	3318
560	4229	3309
561	4235	3300
562	4241	3292
563	4246	3282
564	4252	3274
565	4259	3266
566	4266	3257
567	4272	3249
568	4278	3240
569	4283	3231
570	4289	3223
571	4295	3213
572	4301	3205
573	4306	3196
574	4312	3187
575	4320	3180
576	4325	3171
577	4331	3162
578	4337	3153
579	4342	3144
580	4348	3136
581	4354	3127
582	4360	3118
583	4366	3110
584	4372	3101
585	4379	3093
586	4385	3085
587	4390	3076
588	4396	3067
589	4402	3059
590	4408	3050
591	4414	3042
592	4420	3033
593	4425	3024
594	4431	3016
595	4436	3007
596	4442	2998
597	4448	2990
598	4454	2981
599	4459	2973
600	4467	2965
601	4473	2957
602	4478	2948
603	4484	2940
604	4489	2931
605	4496	2923
606	4501	2914
607	4507	2906
608	4513	2898
609	4519	2889
610	4525	2880
611	4531	2872
612	4536	2864
613	4542	2855
614	4548	2847
615	4554	2839
616	4560	2830
617	4566	2822
618	4571	2813
619	4577	2805
620	4583	2797
621	4589	2788
622	4595	2780
623	4600	2772
624	4606	2763
625	4613	2756
626	4619	2747
627	4624	2739
628	4630	2731
629	4636	2722
630	4642	2714
631	4648	2706
632	4653	2698
633	4660	2690
634	4665	2681
635	4671	2673
636	4678	2666
637	4684	2657
638	4689	2649
639	4695	2641
640	4701	2633
641	4707	2625
642	4713	2616
643	4718	2608
644	4724	2600
645	4729	2591
646	4735	2583
647	4741	2575
648	4747	2567
649	4752	2559
650	4759	2551
651	4765	2543
652	4771	2535
653	4778	2527
654	4780	2517
655	4786	2510
656	4793	2502
657	4798	2494
658	4804	2486
659	4810	2477
660	4815	2469
661	4821	2461
662	4827	2453
663	4832	2445
664	4835	2436
665	4842	2428
666	4848	2420
667	4854	2412
668	4859	2404
669	4864	2396
670	4871	2388
671	4876	2380
672	4882	2372
673	4889	2364
674	4894	2356
675	4900	2348
676	4907	2341
677	4913	2333
678	4919	2325
679	4924	2317
680	4930	2309
681	4936	2301
682	4942	2293
683	4948	2286
684	4954	2278
685	4960	2270
686	4965	2262
687	4971	2254
688	4977	2246
689	4983	2238
690	4989	2231
691	4995	2223
692	5001	2215
693	5006	2207
694	5012	2199
695	5018	2191
